ID,URN,Passage_SHA256,Primary_Text,Meter,Pattern,Caesura,Tier,Source
m-8a3f39d4d61f,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1,5f01611b5073e2e5856c0ea309e37ebdf47463ed9f2a152e4e6bb126acdeda96,"ἀρχόμενος σέο, Φοῖβε, παλαιγενέων κλέα φωτῶν",dactylic hexameter,-uu- uu -u u-uu- uu --,"feminine penthemimeral, trithemimeral",gold-derived,hypotactic
m-917f5a3c7789,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.10,4bdb2195188eff1e1313f5834a49237ea7ca79d257002c933c04a1d7b96da76f,"ἄλλο μὲν ἐξεσάωσεν ὑπʼ ἰλύος, ἄλλο δʼ ἔνερθεν",dactylic hexameter,-u u -uu-u u -uu -u u--,feminine penthemimeral,gold-derived,hypotactic
m-090ea5aa72a8,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.100,f964b53bc93deec0c68b4b7d8683b4e223852ee169cbc4bb0ab27aaeb3673e0e,"πέμπεν, ἵνα θρασέεσσι μεταπρέποι ἡρώεσσιν.",dactylic hexameter,-u u- uu-u u-uu ----,"feminine penthemimeral, trithemimeral",gold-derived,hypotactic
m-343e9af400b5,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1000,6be6e5b0977fef8474a5e296551b61a6efdbed8848d90ff395fb21ee99d22c6d,"γηγενέων ἥρωες ἀρήιοι, ἠμὲν ὀιστοῖς",dactylic hexameter,-uu- --u u-uu -u u--,"feminine penthemimeral, trithemimeral",gold-derived,hypotactic
m-7bb031b8e1bc,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1001,58a5201cc5077bd0cf245f018b55181c9a8f87e23e77b07e7e2df82bef727bd9,"ἠδὲ καὶ ἐγχείῃσι δεδεγμένοι, εἰσόκε πάντας",dactylic hexameter,-u u ---u u-uu -uu --,feminine penthemimeral,gold-derived,hypotactic
m-2639c73ea443,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1002,182ec8d340ea79dee2e31cb298a86cd0534b8634adc15ebd95bc645bcab5609f,ἀντιβίην ἀσπερχὲς ὀρινομένους ἐδάιξαν.,dactylic hexameter,-uu- --u u-uu- uu--,"feminine penthemimeral, trithemimeral",gold-derived,hypotactic
m-406df814cfd8,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1003,2373e06b372579d34c59d8e6679897ab512696314526a14a8136a02473ebd087,ὡς δʼ ὅτε δούρατα μακρὰ νέον πελέκεσσι τυπέντα,dactylic hexameter,- uu -uu -u u- uu-u u--,"feminine penthemimeral, hepthemimeral",gold-derived,hypotactic
m-8a7272e1863e,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1004,aefc985869dd303f0a1075d9d535efc5402b3679d31e3393e0ab9b3874ccb208,"ὑλοτόμοι στοιχηδὸν ἐπὶ ῥηγμῖνι βάλωσιν,",dactylic hexameter,-uu- --u u- --u u--,"feminine penthemimeral, hepthemimeral, trithemimeral",gold-derived,hypotactic
m-a3e1035b54e4,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1005,d674f9b6117c7afbaf597fa7d7aa4c2577ec2dd093c14918705b0862ec3099b4,ὄφρα νοτισθέντα κρατεροὺς ἀνεχοίατο γόμφους·,dactylic hexameter,-u u--- uu- uu-uu --,"masculine penthemimeral, hepthemimeral",gold-derived,hypotactic
m-c7a6318b5676,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1006,36c4326d04173a500356191c13f8e2f62f39c9ee122caf9a9fa4a72f7b0a1346,ὧς οἱ ἐνὶ ξυνοχῇ λιμένος πολιοῖο τέταντο,dactylic hexameter,- u u- uu- uu- uu-u u--,"masculine penthemimeral, hepthemimeral, trithemimeral",gold-derived,hypotactic
m-a7b3e5bba51f,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1007,0a493f09e8ca03d95e739bc7cc146a2d28920da0129c6a6bbf7edef49038834a,"ἑξείης, ἄλλοι μὲν ἐς ἁλμυρὸν ἀθρόοι ὕδωρ",dactylic hexameter,--- -- u u -uu -uu --,"masculine penthemimeral, trithemimeral",gold-derived,hypotactic
m-008f50eb1c8e,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1008,b29c2859060f3ac32bd1c6083ff731f804438052496632229be83299d3e5138b,"δύπτοντες κεφαλὰς καὶ στήθεα, γυῖα δʼ ὕπερθεν",dactylic hexameter,--- uu- - -uu -u u--,"masculine penthemimeral, trithemimeral",gold-derived,hypotactic
m-b7b56509cb08,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1009,44ce647ad8e577c5e02cc13ec2822bca186d38b909cde5f0ab4cd37881769756,"χέρσῳ τεινάμενοι· τοὶ δʼ ἔμπαλιν, αἰγιαλοῖο",dactylic hexameter,-- -uu- - -uu -uu--,masculine penthemimeral,gold-derived,hypotactic
m-e1fa9e86c5b7,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.101,3fc9f8cb02fff5c93604a55a8545b65d23e13cc907e1f37161c83a5f07048596,"Θησέα δʼ ,ὃς περὶ πάντας Ἐρεχθεΐδας ἐκέκαστο,",dactylic hexameter,-uu - uu -u u-uu- uu--,"feminine penthemimeral, trithemimeral",gold-derived,hypotactic
m-936061a59a57,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1010,d231fc1e5e9091bfba9cfacd84a162f20407315b3d001383775ab22b99d59d7c,"κράατα μὲν ψαμάθοισι, πόδας δʼ εἰς βένθος ἔρειδον,",dactylic hexameter,-uu - uu-u u- - -u u--,"feminine penthemimeral, hepthemimeral, trithemimeral",gold-derived,hypotactic
m-21d1f7c8a83e,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1011,a00f04b62d3a1e4f53d0b2ad1bd001a1377f36597cd9a034bb7f33dcc36a08ee,ἄμφω ἅμʼ οἰωνοῖσι καὶ ἰχθύσι κύρμα γενέσθαι.,dactylic hexameter,-u u ---u u -uu -u u--,feminine penthemimeral,gold-derived,hypotactic
m-84ca486af172,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1012,6f9c7108886adeaa9e7c145f9b5d292df66c9a0d27d716528933898863284797,"ἥρωες δʼ ,ὅτε δή σφιν ἀταρβὴς ἔπλετʼ ἄεθλος,",dactylic hexameter,--- uu - u u-- -u u--,"masculine penthemimeral, trithemimeral",gold-derived,hypotactic
m-398fcb9fa5f6,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1013,67a38efcd0e97777652af230766d1c23c50179671908e62df56414cdd53b1a2e,δὴ τότε πείσματα νηὸς ἐπὶ πνοιῇς ἀνέμοιο,dactylic hexameter,- uu -uu -u u- -- uu--,"feminine penthemimeral, hepthemimeral",gold-derived,hypotactic
m-6ef512c14fb0,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1014,bde078da67906fe46cd79f33e1124b6af38f09e965447830ce3358e6a170eef4,λυσάμενοι προτέρωσε διὲξ ἁλὸς οἶδμα νέοντο.,dactylic hexameter,-uu- uu-u u- uu -u u--,"feminine penthemimeral, hepthemimeral, trithemimeral",gold-derived,hypotactic
m-70d55bd77e11,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1015,c98ec6521c9d6043e2382f11f4913e7ab7924e0eb076f839f45460b37dbd6ce7,ἡ δʼ ἔθεεν λαίφεσσι πανήμερος· οὐ μὲν ἰούσης,dactylic hexameter,- uu- --u u-uu - u u--,"feminine penthemimeral, trithemimeral",gold-derived,hypotactic
m-0ad34870f94f,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1016,9d7055c0ed7771424ae3122178767df73690ea6f671b6ce2409073f86e991713,"νυκτὸς ἔτι ῥιπὴ μένεν ἔμπεδον, ἀλλὰ θύελλαι",dactylic hexameter,-u u- -- uu -uu -u u--,"masculine penthemimeral, trithemimeral",gold-derived,hypotactic
m-8b2fb538f83c,urn:cts:greekLit:tlg0001.tlg001.perseus-grc2:1.1017,eeed656d5a0fe4256af61d9ce77ce7a11f1abda870ab59f9ea1ad17cccb6eb0e,"ἀντίαι ἁρπάγδην ὀπίσω φέρον, ὄφρʼ ἐπέλασσαν",dactylic hexameter,-uu --- uu- uu - uu--,"masculine penthemimeral, hepthemimeral",gold-derived,hypotactic
