ID,Language_ID,Parameter_ID,Value
aae-name,aae,name,Arbëresh Albanian
aae-family,aae,family,Albanian (Tosk)
aae-context,aae,context,"Arbëresh is the Albanian of southern Italy, carried across the Adriatic by refugees who left the Balkans in waves after the Ottoman conquest and the death of Skanderbeg in 1468. Descended from medieval Tosk, it has been spoken for five centuries in villages scattered through Calabria, Sicily, Basilicata and neighboring regions, preserving archaisms lost in Balkan Albanian while absorbing much from Italian and the local Romance dialects. Italy recognizes it as a protected minority language. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Albanian relatives."
aae-provenance,aae,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
abs-name,abs,name,Ambonese Malay
abs-family,abs,family,Austronesian (Malay-based creole)
abs-context,abs,context,"The Malay creole of Ambon and the central Moluccas, shaped by the spice-trade centuries with a heavy Dutch and Portuguese loan layer, and mother tongue of the Ambonese diaspora in the Netherlands. It reaches this library through the etymology desk's cognate lists."
abs-provenance,abs,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
acw-name,acw,name,Hijazi Arabic
acw-family,acw,family,Afro-Asiatic (Semitic)
acw-context,acw,context,"The Arabic of the western Saudi cities of Jeddah, Mecca and Medina, an urban vernacular smoothed by centuries of pilgrimage contact; this library's ara dossier covers the standard language. It reaches this library through the etymology desk's cognate lists."
acw-provenance,acw,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
ae-name,ae,name,Avestan
ae-family,ae,family,Indo-European (Iranian)
ae-context,ae,context,The ISO 639-1 alias of ave — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
ae-provenance,ae,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
ae-old-name,ae-old,name,Old Avestan
ae-old-family,ae-old,family,Indo-European (Iranian)
ae-old-context,ae-old,context,"The archaic Avestan of the Gathas and the Yasna Haptanghaiti, the hymns attributed to Zarathustra himself, linguistically as old as Rigvedic Sanskrit. Wiktionary files it as a variety of Avestan, whose ave dossier this library already holds. It reaches this library through the etymology desk's cognate lists."
ae-old-provenance,ae-old,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
ae-yng-name,ae-yng,name,Younger Avestan
ae-yng-family,ae-yng,family,Indo-European (Iranian)
ae-yng-context,ae-yng,context,"The later liturgical Avestan in which most of the surviving Avesta — Yashts, Vendidad, the bulk of the Yasna — is composed, transmitted orally for centuries before the Sasanian-era script fixed it. It reaches this library through the etymology desk's cognate lists."
ae-yng-provenance,ae-yng,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
af-name,af,name,Afrikaans
af-family,af,family,"Indo-European (Germanic, West)"
af-context,af,context,"The daughter of 17th-century Dutch that grew at the Cape of Good Hope, its grammar radically simplified and its lexicon touched by Malay, Khoisan and Bantu contact; it became a standard language of South Africa and Namibia in the 20th century. It reaches this library through the etymology desk's cognate lists as the most-cited modern descendant of Dutch etyma."
af-provenance,af,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
aig-name,aig,name,Antigua and Barbuda Creole
aig-family,aig,family,English-lexified creole
aig-context,aig,context,"The Leeward Caribbean Creole English of Antigua and Barbuda and nearby islands, part of the dialect chain running from Saint Kitts to Montserrat. It reaches this library through the etymology desk's cognate lists."
aig-provenance,aig,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
akk-name,akk,name,Akkadian
akk-family,akk,family,East Semitic
akk-context,akk,context,"East Semitic language of Babylon and Assyria, ca. 2350 BCE – 100 CE, held in transliteration with ORACC's gold lemmas (SAA letters, omens, royal inscriptions)."
akk-provenance,akk,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
aln-name,aln,name,Gheg Albanian
aln-family,aln,family,Albanian (Gheg)
aln-context,aln,context,"Gheg is the northern of Albanian's two dialect groups, spoken north of the Shkumbin river in northern Albania, Kosovo, North Macedonia and Montenegro. It differs from southern Tosk in keeping nasal vowels and an infinitive, and it carried the language's first literature — the earliest Albanian books, from Gjon Buzuku's 1555 missal onward, were Gheg — though the 1972 unified standard was built on Tosk. On this library's shelves it appears through the etymology desk — cognate sets and reflex edges beside its Albanian relatives."
aln-provenance,aln,provenance,"exported: 2026-07-14 (ledger language_notes + seed yml); noted: 2026-08-02 (curated note added, Wikipedia-derived)"
am-name,am,name,Amharic
am-family,am,family,Afro-Asiatic (Semitic)
am-context,am,context,The ISO 639-1 alias of amh — see that dossier; Wiktionary descendant lists arrive under this two-letter form.
am-provenance,am,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
amh-name,amh,name,Amharic
amh-family,amh,family,Ethio-Semitic (South Semitic)
amh-context,amh,context,"South Ethio-Semitic working language of the Ethiopian state, written in the fidäl syllabary. This library holds 22 Beta maṣāḥǝft works records (116 passages) from the Hamburg Ethiopic catalogue — Amharic commentaries on the Psalms, medical texts, and Ḫaylä Śǝllase-era state documents — riding alongside the much larger Gǝʿǝz shelf."
amh-provenance,amh,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
an-name,an,name,Aragonese
an-family,an,family,Indo-European (Romance)
an-context,an,context,"The Romance language of the Pyrenean valleys of Aragon, remnant of a once much wider medieval kingdom speech, today spoken by some tens of thousands with revival efforts around Huesca. It reaches this library through the etymology desk's cognate lists."
an-provenance,an,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
ang-name,ang,name,Old English
ang-family,ang,family,West Germanic
ang-context,ang,context,"Beowulf and the complete ASPR poetry plus the ISWOC prose/gospel treebank, ca. 700–1150. Bosworth-Toller (63k entries) is its reference shelf."
ang-provenance,ang,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
aqc-name,aqc,name,Archi
aqc-family,aqc,family,Northeast Caucasian (Lezgic)
aqc-context,aqc,context,"Archi is a Lezgic language of the Northeast Caucasian family, spoken in the single village of Archib in highland Dagestan, Russia, and famed for its enormous inflectional system. Held as the WOLD Archi vocabulary (Marina Chumakina; Haspelmath & Tadmor eds. 2009) — loanword-status and donor-language evidence at the etym desk."
aqc-provenance,aqc,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
ar-name,ar,name,Arabic
ar-family,ar,family,Central Semitic
ar-context,ar,context,A handful of early Islamic-era documentary papyri.
ar-provenance,ar,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
ara-name,ara,name,Arabic
ara-family,ara,family,Central Semitic
ara-context,ara,context,"The classical language of the Quran and of a written tradition that spans Quran and hadith, history and biography, law (fiqh), theology and philosophy (falsafa), and the poetry of the dīwāns and the adab of the anthologies. Nabu stages it through the OpenITI corpus — ~8,803 primary premodern & early-modern versions / ~1.08 B words, the largest single corpus the library has staged — arriving at the owner's first `sync openiti`. OpenITI is unannotated (no gold lemmas): full-text search and the AH death-year timeline are its instruments, and the P41-3 Arabic-script fold (ی/ي, ک/ك) makes it cross-searchable with Persian (fas)."
ara-provenance,ara,provenance,"authored: 2026-07-22 (P41-4 — the Arabic phase, OpenITI staged)"
arc-name,arc,name,Aramaic
arc-family,arc,family,Northwest Semitic
arc-context,arc,context,A single cuneiform-shelf document.
arc-provenance,arc,provenance,exported: 2026-07-14 (ledger language_notes + seed yml)
arn-name,arn,name,Mapudungun
arn-family,arn,family,Araucanian
arn-context,arn,context,Mapudungun is an Araucanian language spoken by the Mapuche people of south-central Chile and adjacent Argentina. Held as the WOLD Mapudungun vocabulary (Lucía Golluscio and Adriana Fraguas and Fresia Mellico; Haspelmath & Tadmor eds. 2009) — loanword-status and donor-language evidence at the etym desk.
arn-provenance,arn,provenance,"exported: 2026-07-26 (P46 language pass, owner-ordered)"
arw-name,arw,name,Arawak (Lokono)
arw-family,arw,family,Arawakan
arw-context,arw,context,"The language of the Lokono people of the Guianas coast, namesake of the whole Arawakan family, the first indigenous American family named by Europeans; some thousands of speakers keep it in Guyana, Suriname and French Guiana. Its Dutch-era loans are why it appears among Germanic descendants. It reaches this library through the etymology desk's cognate lists."
arw-provenance,arw,provenance,"noted: 2026-08-02 (created for etym-desk coverage, Wikipedia-derived)"
as-name,as,name,Assamese
