ID,Script_Tag,Parameter_ID,Value
arab-name,arab,name,Arabic
arab-context,arab,context,"The cursive right-to-left abjad, from the 4th c. CE Nabataean line; positional letter forms and optional vowel pointing. Beyond Arabic it historically wrote Persian, Ottoman Turkish and many others."
arab-desk,arab,desk,Letters carry the Mashriqi abjad numeral values (the ḥisāb al-jummal table); classical shelves hold pointed and unpointed text as upstream provides it.
armn-name,armn,name,Armenian
armn-context,armn,context,"Mesrop Mashtots' alphabet (c. 405 CE), created for the Armenian Bible translation — 36 original letters, left-to-right, with its own numeral convention; the vehicle of the whole classical Armenian literature."
avst-name,avst,name,Avestan
avst-context,avst,context,"The alphabet devised (c. 5th–6th c. CE, on a Pahlavi base) to record the Avesta's recitation exactly — right-to-left, unusually rich in vowel letters for precision over a sacred oral text."
avst-desk,avst,desk,The Avestan shelves hold scholarly romanization as the working surface; Unicode Avestan appears where editions carry it. The artifact-script field records avst for romanized holdings.
copt-name,copt,name,Coptic
copt-context,copt,context,"The last stage of Egyptian, written in Greek letters plus six or seven signs taken from demotic, 3rd c. CE onward — the language of Egyptian Christianity. Unicode disunified it from Greek in 4.1."
copt-desk,copt,desk,Coptic shelves (Scriptorium…) hold Unicode Coptic; Greek loanwords inside Coptic text are the classic mixed-script posture case.
cyrl-name,cyrl,name,Cyrillic
cyrl-context,cyrl,context,"The Slavic alphabet built on Greek uncial with additions for Slavic sounds, from the First Bulgarian Empire (c. 900 CE); Church Slavonic manuscripts through modern Slavic languages. Early Cyrillic letters double as numerals under the titlo mark."
cyrl-desk,cyrl,desk,"The OCS/Church Slavonic shelves hold early-Cyrillic repertoire (yers, yuses, ѣ); titlo numeral values render from the numerals table; Latin-diplomatic spellings meet Cyrillic in the Slavic search folds."
deva-name,deva,name,Devanagari (Nagari)
deva-context,deva,context,"The North-Indian abugida (consonants carry an inherent vowel, marks modify it), standard for Sanskrit printing since the 19th c. and for Hindi and Nepali today; the library's Sanskrit shelves meet it beside romanized IAST."
deva-desk,deva,desk,Sanskrit shelves hold Devanagari and IAST side by side; the san-Deva / san-Latn codemap rows carry the surface distinction.
egyd-name,egyd,name,Egyptian demotic
egyd-context,egyd,context,"The late cursive stage of Egyptian writing (roughly 7th c. BCE – 5th c. CE), used for contracts, letters and literature — the middle script of the Rosetta Stone. It has NO Unicode encoding: demotic text survives digitally only as transliteration."
egyd-desk,egyd,desk,An artifact-script fact only (~egyd never occurs as a held surface) — demotic documents in the papyrological shelves are held in Latin transliteration with the artifact script recorded as egyd.
egyp-name,egyp,name,Egyptian hieroglyphs
egyp-context,egyp,context,"The monumental Egyptian script — logograms, phonograms and classifiers in one system — from c. 3200 BCE to the 4th c. CE. Unicode encodes 5,000+ signs (the Gardiner-style repertoire), and the Unikemet data file is its normative per-sign registry."
egyp-desk,egyp,desk,The Egyptian card (`nabu char 𓅃` or a Gardiner-style code like G5) rides the Unikemet instrument; corpus shelves carry the MdC/Unicode layers where editions provide them.
ethi-name,ethi,name,Ethiopic (Geʿez)
ethi-context,ethi,context,"The Ethiopian syllabary — an abugida since the 4th c. CE vocalization, written left-to-right (unusual for a Semitic-derived script); the liturgical Geʿez literature and the Beta maṣāḥǝft manuscript corpus run on it."
glag-name,glag,name,Glagolitic
glag-context,glag,context,"The FIRST Slavic alphabet, devised by Cyril and Methodius (860s CE), with an angular Croatian line that lived into the early modern period; most of the oldest Church Slavonic monuments are Glagolitic. Its letters carry numeral values in their OWN alphabet order, not the Cyrillic-mirrored Greek order (the numerals table renders them; P88-B4)."
glag-desk,glag,desk,Glagolitic appears in the OCS dictionary shelves as variant forms rather than passage text; the search hint layer names the absence of a cross-script fold honestly.
goth-name,goth,name,Gothic
goth-context,goth,context,Wulfila's 4th-c. CE alphabet for the Gothic Bible — Greek uncial base with Latin and runic admixture; almost everything surviving in it is the Bible translation. Every letter doubles as a numeral; two letters are numeral-only.
goth-desk,goth,desk,The Gothic corpora are held romanized (conventions §9); the search hint layer says so instead of failing silently. Letter numeral values render from the numerals table.
grek-name,grek,name,Greek
grek-context,grek,context,"The Greek alphabet, adapted from Phoenician by the 8th c. BCE — the first alphabet with full vowel letters. Classical texts are polytonic (breathings + three accents); the library's largest single language (Ancient Greek) runs on it, Homer through the papyri."
grek-desk,grek,desk,Polytonic throughout the ancient shelves; betacode input folds to Greek in search. Letters double as Milesian numerals (the isopsephy table renders per-letter values).
hang-name,hang,name,Hangul
hang-context,hang,context,"The Korean featural alphabet, promulgated 1446 — letters model the articulators, and jamo compose into syllable blocks. Unicode encodes the blocks algorithmically; a syllable decomposes mechanically into its jamo."
hang-desk,hang,desk,The card derives syllable names and jamo decomposition algorithmically (§3.12 + Jamo.txt); the Korean stratum also rides the Han card (kHangul readings) for Sino-Korean.
hant-name,hant,name,Han (Traditional variant)
hant-context,hant,context,"The Chinese characters in their full traditional forms — the script of the classical canon and of the library's largest holdings (the Buddhist canons, the classical corpus). One character is typically one morpheme; readings differ per language and era."
hant-desk,hant,desk,"The Han card is the deep one (Unihan, KANJIDIC2, IDS decomposition, OC/MC reconstructions, TLS); simplified-script queries reach the traditional canon through the published hani-fold table."
hebr-name,hebr,name,Hebrew
hebr-context,hebr,context,"The Jewish square script (an Aramaic-derived abjad, right-to-left), standard for Hebrew and Jewish Aramaic since the last centuries BCE; the Masoretic pointing system adds vowels and cantillation as combining marks."
hebr-desk,hebr,desk,Masoretic texts are held in their upstream combining-mark order — hbo and arc are on the NFC exemption list (normalizing would break the pointing; owner ruling 2026-07-18). Letters carry gematria values (rendered from the numerals table).
ital-name,ital,name,"Old Italic (Etruscan, Oscan, etc.)"
ital-context,ital,context,"The family of pre-Roman Italian alphabets derived from Euboean Greek — Etruscan (usually right-to-left), Oscan, Umbrian, Faliscan and their kin, 7th–1st c. BCE; the ancestors of the Latin alphabet."
ital-desk,ital,desk,The Italic epigraphic shelves mostly hold Latin-script transliteration (the -Ital-x- tag convention is per-collection knowledge); Unicode Old Italic appears where editions carry it.
jpan-name,jpan,name,Japanese (Han + Hiragana + Katakana)
jpan-context,jpan,context,"The composite Japanese surface: Han characters (kanji) for stems, hiragana for grammar, katakana for emphasis and loans. A composite claim at collection grain — its characters byte-classify per component script."
